,,close,date,high,low,market_cap,open,volume
Historical data for Bitcoin,0,8058.67,2018-04-16,8371.15,7925.73,141571000000,8337.57,5631310000
Historical data for Bitcoin,1,8329.11,2018-04-15,8338.42,7999.33,135812000000,7999.33,5244480000
Historical data for Bitcoin,2,7986.24,2018-04-14,8140.71,7846.0,133682000000,7874.67,5191430000
Historical data for Bitcoin,3,7895.96,2018-04-13,8183.96,7758.93,134114000000,7901.09,7764460000
Historical data for Bitcoin,4,7889.25,2018-04-12,7899.23,6806.51,118048000000,6955.38,8906250000
Historical data for Bitcoin,5,6968.32,2018-04-11,6968.32,6817.59,116126000000,6843.47,4641890000
Historical data for Bitcoin,6,6834.76,2018-04-10,6872.41,6704.15,115306000000,6795.44,4272750000
Historical data for Bitcoin,7,6770.73,2018-04-09,7178.11,6661.99,119516000000,7044.32,4894060000
Historical data for Bitcoin,8,7023.52,2018-04-08,7111.56,6919.98,117392000000,6919.98,3652500000
Historical data for Bitcoin,9,6911.09,2018-04-07,7050.54,6630.51,112467000000,6630.51,3976610000
Historical data for Bitcoin,10,6636.32,2018-04-06,6857.49,6575.0,115601000000,6815.96,3766810000
Historical data for Bitcoin,11,6811.47,2018-04-05,6933.82,6644.8,116142000000,6848.65,5639320000
Historical data for Bitcoin,12,6853.84,2018-04-04,7469.88,6803.88,126434000000,7456.41,4936000000
Historical data for Bitcoin,13,7456.11,2018-04-03,7530.94,7072.49,120415000000,7102.26,5499700000
Historical data for Bitcoin,14,7083.8,2018-04-02,7135.47,6816.58,116037000000,6844.86,4333440000
Historical data for Bitcoin,15,6844.23,2018-04-01,7060.95,6526.87,118705000000,7003.06,4532100000
Historical data for Bitcoin,16,6973.53,2018-03-31,7207.85,6863.52,116820000000,6892.48,4553270000
Historical data for Bitcoin,17,6890.52,2018-03-30,7276.66,6683.93,121534000000,7171.45,6289510000
Historical data for Bitcoin,18,7165.7,2018-03-29,7994.33,7081.38,135205000000,7979.07,6361230000
Historical data for Bitcoin,19,7954.48,2018-03-28,8122.89,7809.17,132781000000,7836.83,4935290000
Historical data for Bitcoin,20,7833.04,2018-03-27,8232.78,7797.28,138919000000,8200.0,5378250000
Historical data for Bitcoin,21,8209.4,2018-03-26,8530.08,7921.43,143960000000,8498.47,5921040000
Historical data for Bitcoin,22,8495.78,2018-03-25,8682.01,8449.1,145882000000,8612.81,4569880000
Historical data for Bitcoin,23,8668.12,2018-03-24,8996.18,8665.7,150762000000,8901.95,5664600000
Historical data for Bitcoin,24,8879.62,2018-03-23,8879.62,8360.62,147941000000,8736.25,5954120000
Historical data for Bitcoin,25,8728.47,2018-03-22,9100.71,8564.9,151366000000,8939.44,5530390000
Historical data for Bitcoin,26,8929.28,2018-03-21,9177.37,8846.33,151316000000,8937.48,6043130000
Historical data for Bitcoin,27,8913.47,2018-03-20,9051.02,8389.89,145922000000,8619.67,6361790000
Historical data for Bitcoin,28,8630.65,2018-03-19,8675.87,8182.4,141240000000,8344.12,6729110000
Historical data for Bitcoin,29,8223.68,2018-03-18,8245.51,7397.99,133547000000,7890.52,6639190000
Historical data for Ethereum,0,511.15,2018-04-16,534.2,500.25,52592200000,532.07,1758980000
Historical data for Ethereum,1,531.7,2018-04-15,531.7,502.88,49696300000,502.88,1726090000
Historical data for Ethereum,2,501.48,2018-04-14,512.02,488.28,48668400000,492.58,1519080000
Historical data for Ethereum,3,492.74,2018-04-13,526.47,482.66,48715400000,493.16,2419250000
Historical data for Ethereum,4,492.94,2018-04-12,493.06,417.41,42483600000,430.16,2519360000
Historical data for Ethereum,5,430.54,2018-04-11,430.54,412.47,40980200000,415.02,1439040000
Historical data for Ethereum,6,414.24,2018-04-10,415.89,393.88,39430400000,399.41,1196000000
Historical data for Ethereum,7,398.53,2018-04-09,429.25,390.61,39565100000,400.86,1478390000
Historical data for Ethereum,8,400.51,2018-04-08,402.59,385.6,38065400000,385.74,948488000
Historical data for Ethereum,9,385.31,2018-04-07,393.06,369.94,36541900000,370.38,951475000
Historical data for Ethereum,10,370.29,2018-04-06,385.19,366.91,37752600000,382.73,967106000
Historical data for Ethereum,11,383.23,2018-04-05,387.72,369.82,37470200000,379.95,1210680000
Historical data for Ethereum,12,380.54,2018-04-04,417.47,375.31,41065100000,416.49,1287730000
Historical data for Ethereum,13,416.89,2018-04-03,418.97,383.53,38180800000,387.31,1363400000
Historical data for Ethereum,14,386.43,2018-04-02,395.17,377.59,37422500000,379.7,1102260000
Historical data for Ethereum,15,379.61,2018-04-01,400.53,363.81,39144700000,397.25,1256930000
Historical data for Ethereum,16,396.46,2018-03-31,418.47,392.95,38914900000,395.0,1323920000
Historical data for Ethereum,17,394.64,2018-03-30,409.93,368.63,38010600000,385.9,1878130000
Historical data for Ethereum,18,385.97,2018-03-29,450.81,385.81,44125000000,448.07,1970230000
Historical data for Ethereum,19,446.28,2018-03-28,466.21,444.86,44334000000,450.29,1514180000
Historical data for Ethereum,20,450.12,2018-03-27,491.46,449.97,48193300000,489.59,1617940000
Historical data for Ethereum,21,489.95,2018-03-26,526.38,470.44,51598000000,524.29,1638880000
Historical data for Ethereum,22,524.29,2018-03-25,535.82,515.66,51431600000,522.7,1151170000
Historical data for Ethereum,23,526.44,2018-03-24,545.38,526.08,53375400000,542.57,1300010000
Historical data for Ethereum,24,539.62,2018-03-23,540.49,512.13,53098100000,539.86,1596350000
Historical data for Ethereum,25,539.7,2018-03-22,577.57,523.09,55273800000,562.1,1523460000
Historical data for Ethereum,26,561.73,2018-03-21,589.61,550.57,54967300000,559.1,1781270000
Historical data for Ethereum,27,557.17,2018-03-20,567.09,521.2,54722100000,556.72,1833680000
Historical data for Ethereum,28,556.73,2018-03-19,558.1,519.12,53718600000,546.63,2046790000
Historical data for Ethereum,29,538.64,2018-03-18,551.64,460.09,54200100000,551.64,2685500000
Historical data for Ripple,0,0.663297,2018-04-16,0.6871649999999999,0.63861,26693300000,0.682296,531996000
Historical data for Ripple,1,0.682534,2018-04-15,0.682534,0.634143,24838400000,0.634883,609637000
Historical data for Ripple,2,0.632184,2018-04-14,0.661508,0.6163069999999999,24936100000,0.6373800000000001,626268000
Historical data for Ripple,3,0.638087,2018-04-13,0.693112,0.605816,24651000000,0.630093,1245170000
Historical data for Ripple,4,0.628737,2018-04-12,0.6445179999999999,0.506543,21058600000,0.5386569999999999,1346740000
Historical data for Ripple,5,0.5395059999999999,2018-04-11,0.548455,0.48902599999999996,19256700000,0.49256799999999995,341707000
Historical data for Ripple,6,0.49193099999999995,2018-04-10,0.493645,0.48283899999999996,19239800000,0.49213399999999996,154495000
Historical data for Ripple,7,0.491855,2018-04-09,0.512142,0.482573,19594200000,0.501201,271775000
Historical data for Ripple,8,0.500398,2018-04-08,0.501418,0.487591,19087000000,0.48822699999999997,137548000
Historical data for Ripple,9,0.487867,2018-04-07,0.49566699999999997,0.47457499999999997,18642300000,0.47685099999999997,209076000
Historical data for Ripple,10,0.476431,2018-04-06,0.49809000000000003,0.465615,19343200000,0.49478099999999997,218156000
Historical data for Ripple,11,0.495801,2018-04-05,0.5058819999999999,0.48449000000000003,19623500000,0.50195,358755000
Historical data for Ripple,12,0.5016309999999999,2018-04-04,0.563117,0.49848699999999996,21680600000,0.554569,415258000
Historical data for Ripple,13,0.558044,2018-04-03,0.5626979999999999,0.499658,19607200000,0.501533,578239000
Historical data for Ripple,14,0.500688,2018-04-02,0.510446,0.47859599999999997,19002500000,0.48606699999999997,262342000
