date,close
2018-04-16,8058.67
2018-04-15,8329.11
2018-04-14,7986.24
2018-04-13,7895.96
2018-04-12,7889.25
2018-04-11,6968.32
2018-04-10,6834.76
2018-04-09,6770.73
2018-04-08,7023.52
2018-04-07,6911.09
2018-04-06,6636.32
2018-04-05,6811.47
2018-04-04,6853.84
2018-04-03,7456.11
2018-04-02,7083.8
2018-04-01,6844.23
2018-03-31,6973.53
2018-03-30,6890.52
2018-03-29,7165.7
2018-03-28,7954.48
2018-03-27,7833.04
2018-03-26,8209.4
2018-03-25,8495.78
2018-03-24,8668.12
2018-03-23,8879.62
2018-03-22,8728.47
2018-03-21,8929.28
2018-03-20,8913.47
2018-03-19,8630.65
2018-03-18,8223.68
2018-04-16,511.15
2018-04-15,531.7
2018-04-14,501.48
2018-04-13,492.74
2018-04-12,492.94
2018-04-11,430.54
2018-04-10,414.24
2018-04-09,398.53
2018-04-08,400.51
2018-04-07,385.31
2018-04-06,370.29
2018-04-05,383.23
2018-04-04,380.54
2018-04-03,416.89
2018-04-02,386.43
2018-04-01,379.61
2018-03-31,396.46
2018-03-30,394.64
2018-03-29,385.97
2018-03-28,446.28
2018-03-27,450.12
2018-03-26,489.95
2018-03-25,524.29
2018-03-24,526.44
2018-03-23,539.62
2018-03-22,539.7
2018-03-21,561.73
2018-03-20,557.17
2018-03-19,556.73
2018-03-18,538.64
2018-04-16,0.663297
2018-04-15,0.682534
2018-04-14,0.632184
2018-04-13,0.638087
2018-04-12,0.628737
2018-04-11,0.5395059999999999
2018-04-10,0.491931
2018-04-09,0.49185500000000004
2018-04-08,0.500398
2018-04-07,0.487867
2018-04-06,0.47643100000000005
2018-04-05,0.49580100000000005
2018-04-04,0.5016309999999999
2018-04-03,0.558044
2018-04-02,0.500688
2018-04-01,0.48508100000000004
2018-03-31,0.512353
2018-03-30,0.5095649999999999
2018-03-29,0.5115109999999999
2018-03-28,0.578002
2018-03-27,0.577917
2018-03-26,0.599463
2018-03-25,0.641875
2018-03-24,0.641265
2018-03-23,0.643174
2018-03-22,0.6627430000000001
2018-03-21,0.6936640000000001
2018-03-20,0.709808
2018-03-19,0.7490800000000001
2018-03-18,0.6587770000000001
2018-04-16,766.47
2018-04-15,780.83
2018-04-14,738.99
2018-04-13,738.3
2018-04-12,734.48
2018-04-11,666.58
2018-04-10,649.62
2018-04-09,637.03
2018-04-08,655.26
2018-04-07,640.35
2018-04-06,610.43
2018-04-05,646.04
2018-04-04,649.2
2018-04-03,712.88
2018-04-02,662.77
2018-04-01,643.03
2018-03-31,685.25
2018-03-30,697.01
2018-03-29,714.27
2018-03-28,860.52
2018-03-27,876.33
2018-03-26,919.25
2018-03-25,966.88
2018-03-24,982.3
2018-03-23,1019.43
2018-03-22,1011.52
2018-03-21,1033.45
2018-03-20,1059.12
2018-03-19,994.67
2018-03-18,938.12
2018-04-16,128.34
2018-04-15,132.04
2018-04-14,126.29
2018-04-13,125.35
2018-04-12,129.34
2018-04-11,118.29
2018-04-10,114.26
2018-04-09,114.99
2018-04-08,117.67
2018-04-07,116.26
2018-04-06,113.16
2018-04-05,119.13
2018-04-04,118.41
2018-04-03,134.47
2018-04-02,119.31
2018-04-01,115.22
2018-03-31,116.61
2018-03-30,118.6
2018-03-29,114.68
2018-03-28,131.75
2018-03-27,135.78
2018-03-26,149.22
2018-03-25,160.08
2018-03-24,159.63
2018-03-23,167.83
2018-03-22,163.67
2018-03-21,169.05
2018-03-20,168.82
2018-03-19,161.14
2018-03-18,154.07
2018-04-16,0.256646
2018-04-15,0.22139000000000006
2018-04-14,0.200853
2018-04-13,0.200532
2018-04-12,0.212233
2018-04-11,0.16602899999999998
2018-04-10,0.156347
2018-04-09,0.153106
2018-04-08,0.156599
2018-04-07,0.14879399999999998
2018-04-06,0.144451
2018-04-05,0.148758
2018-04-04,0.155356
2018-04-03,0.172447
2018-04-02,0.156385
2018-04-01,0.150768
2018-03-31,0.155919
2018-03-30,0.14720899999999998
2018-03-29,0.14688199999999998
2018-03-28,0.160058
2018-03-27,0.15492599999999998
2018-03-26,0.16780599999999998
2018-03-25,0.184605
2018-03-24,0.189201
2018-03-23,0.189259
2018-03-22,0.203481
2018-03-21,0.213189
2018-03-20,0.204947
2018-03-19,0.197648
2018-03-18,0.156155
2018-04-16,0.284156
2018-04-15,0.290722
2018-04-14,0.250668
2018-04-13,0.24629
2018-04-12,0.24212000000000006
2018-04-11,0.212337
2018-04-10,0.199344
2018-04-09,0.197333
2018-04-08,0.206377
2018-04-07,0.201859
2018-04-06,0.19331700000000002
2018-04-05,0.19794
2018-04-04,0.204108
2018-04-03,0.235691
2018-04-02,0.22487800000000002
2018-04-01,0.20658200000000002
2018-03-31,0.20677800000000002
2018-03-30,0.188733
2018-03-29,0.19081900000000002
2018-03-28,0.21925100000000003
2018-03-27,0.216033
2018-03-26,0.228861
2018-03-25,0.239952
2018-03-24,0.235422
2018-03-23,0.23614699999999997
2018-03-22,0.243212
2018-03-21,0.25463600000000003
2018-03-20,0.267968
2018-03-19,0.250226
2018-03-18,0.220473
2018-04-16,1.62
2018-04-15,1.67
2018-04-14,1.43
2018-04-13,1.32
2018-04-12,1.34
2018-04-11,1.07
2018-04-10,1.01
2018-04-09,0.989505
2018-04-08,1.02
2018-04-07,0.984719
2018-04-06,0.9353670000000001
2018-04-05,0.9829530000000001
2018-04-04,0.990158
2018-04-03,1.11
2018-04-02,1.03
2018-04-01,0.994798
2018-03-31,1.08
2018-03-30,1.11
2018-03-29,1.09
2018-03-28,1.19
2018-03-27,1.17
2018-03-26,1.24
2018-03-25,1.32
2018-03-24,1.33
2018-03-23,1.34
2018-03-22,1.33
2018-03-21,1.37
2018-03-20,1.44
2018-03-19,1.33
2018-03-18,1.23
2018-04-16,66.7
2018-04-15,70.33
2018-04-14,63.86
2018-04-13,62.21
2018-04-12,66.71
2018-04-11,58.54
2018-04-10,52.62
2018-04-09,52.93
2018-04-08,49.19
2018-04-07,46.42
2018-04-06,44.94
2018-04-05,47.2
2018-04-04,47.55
2018-04-03,53.64
2018-04-02,48.82
2018-04-01,47.3
2018-03-31,50.13
2018-03-30,50.31
2018-03-29,51.88
2018-03-28,57.24
2018-03-27,55.53
2018-03-26,59.74
2018-03-25,65.43
2018-03-24,65.73
2018-03-23,68.56
2018-03-22,69.64
2018-03-21,72.95
2018-03-20,76.03
2018-03-19,73.44
2018-03-18,65.5
2018-04-16,194.1
2018-04-15,200.62
2018-04-14,190.42
2018-04-13,188.87
2018-04-12,191.94
2018-04-11,169.16
2018-04-10,165.57
2018-04-09,167.06
2018-04-08,173.97
2018-04-07,170.12
2018-04-06,162.0
2018-04-05,173.31
2018-04-04,170.1
2018-04-03,189.53
2018-04-02,177.51
2018-04-01,175.51
2018-03-31,179.56
2018-03-30,172.36
2018-03-29,176.86
2018-03-28,199.16
2018-03-27,187.93
2018-03-26,197.18
2018-03-25,211.78
2018-03-24,209.16
2018-03-23,213.91
2018-03-22,212.71
2018-03-21,218.63
2018-03-20,223.74
2018-03-19,216.77
2018-03-18,209.63
